Frames,Pages,Faults,Reads,Writes
5, 100, 212, 106, 6
10, 100, 265, 135, 30
15, 100, 281, 142, 41
20, 100, 293, 151, 44
25, 100, 329, 171, 65
30, 100, 341, 176, 73
35, 100, 331, 167, 67
40, 100, 356, 185, 81
45, 100, 381, 197, 94
50, 100, 377, 195, 94
55, 100, 389, 203, 102
60, 100, 362, 184, 83
65, 100, 389, 204, 106
70, 100, 334, 172, 74
75, 100, 404, 211, 113
80, 100, 354, 186, 88
85, 100, 295, 154, 59
90, 100, 314, 165, 69
95, 100, 264, 136, 38
100, 100, 200, 100, 0
